Jenis kelamin,Umur,Status pernikahan,Anggota keluarga,tanggungan pendidikan,gaji,BST
L,42,menikah,5,2,250000,1
P,38,tidak menikah,3,0,2200000,0
P,21,tidak menikah,4,2,3000000,0
L,53,menikah,4,1,4000000,0
L,53,menikah,7,4,5000000,0
P,19,tidak menikah,4,2,3000000,1
L,49,menikah,3,1,2000000,1
P,52,menikah,4,1,2000000,1
P,46,menikah,4,1,1900000,1
L,45,menikah,4,3,2500000,0
L,20,tidak menikah,3,2,4500000,0
L,19,tidak menikah,4,1,1800000,1
L,46,menikah,4,1,2300000,1
L,22,tidak menikah,9,5,4000000,0
L,51,tidak menikah,4,0,0,0
L,21,tidak menikah,3,1,3.000.000,0
P,70,tidak menikah,1,0,1800000,1
P,48,menikah,5,3,12500000,0
L,39,menikah,4,1,1900000,1
L,45,menikah,4,2,2200000,1
