jenis kelamin,umur,status pernikahan,anggota keluarga,jumlah tanggungan pendidikan,gaji,bst
L,40,menikah,4,1,1450000,0
L,55,menikah,3,1,700000,1
L,43,menikah,4,2,1600000,0
L,49,menikah,3,1,800000,0
L,50,menikah,5,3,1200000,1
P,67,tidak menikah,1,0,500000,1
P,45,tidak menikah,3,2,650000,1
L,30,menikah,3,1,4500000,0
P,54,tidak menikah,2,1,950000,1
L,54,menikah,4,2,1250000,1
L,37,menikah,4,2,1300000,1
L,25,tidak menikah,1,0,1700000,0
P,49,tidak menikah,3,1,600000,1
L,41,menikah,4,2,1000000,0
P,52,tidak menikah,3,2,900000,1
L,44,menikah,3,1,1200000,0
L,30,menikah,2,0,1400000,0
L,35,menikah,4,1,1750000,0
L,29,menikah,2,0,2500000,0
L,39,menikah,5,3,1250000,1
P,52,menikah,4,1,250000,1
L,58,tidak menikah,1,0,0,1
L,51,menikah,4,1,20000000,0
P,76,tidak menikah,1,0,3000000,1
L,45,menikah,4,2,40000000,0
L,68,menikah,2,0,4000000,0
L,63,menikah,5,3,3000000,0
L,60,menikah,2,1,3500000,0
L,57,menikah,3,1,2500000,0
L,22,tidak menikah,0,0,3400000,0
L,48,menikah,5,3,1800000,1
P,60,tidak menikah,0,0,1000000,1
L,72,menikah,2,0,2500000,1
P,76,tidak menikah,1,0,1800000,1
L,76,tidak menikah,1,0,4000000,1
L,80,tidak menikah,2,0,3000000,1
L,80,tidak menikah,2,0,4000000,1
P,58,tidak menikah,3,2,1800000,1
P,75,menikah,3,0,4000000,1
L,75,tidak menikah,1,0,2000000,1
L,42,menikah,5,2,250000,1
P,38,tidak menikah,3,0,2200000,0
P,21,tidak menikah,4,2,3000000,0
L,53,menikah,4,1,4000000,0
L,53,menikah,7,4,5000000,0
P,19,tidak menikah,4,2,3000000,1
L,49,menikah,3,1,2000000,1
P,52,menikah,4,1,2000000,1
P,46,menikah,4,1,1900000,1
L,45,menikah,4,3,2500000,0
L,20,tidak menikah,3,2,4500000,0
L,19,tidak menikah,4,1,1800000,1
L,46,menikah,4,1,2300000,1
L,22,tidak menikah,9,5,4000000,0
L,51,tidak menikah,4,0,2000000,0
L,21,tidak menikah,3,1,3000000,0
P,70,tidak menikah,1,0,1800000,1
P,48,menikah,5,3,12500000,0
L,39,menikah,4,1,1900000,1
L,45,menikah,4,2,2200000,1
